strategy,apoptotic,pro_apoptotic,GM18507_dead,GM18507_dying,PDX,lowest_groundtruth,highest_groundtruth,median_groundtruth,A549,dLiver,dLung,dPBMC,ductal,glio,HCT116,hLiver,hLung,hodgkin,hPBMC,Jurkat,mLiver,mLung,mPBMC,lowest_non_groundtruth,highest_non_groundtruth,median_non_groundtruth,control_sim_1_2.5,control_sim_2_2.5,control_sim_3_2.5,control_sim_1_5,control_sim_2_5,control_sim_3_5,control_sim_1_10,control_sim_2_10,control_sim_3_10,control_sim_1_15,control_sim_2_15,control_sim_3_15,control_sim_1_20,control_sim_2_20,control_sim_3_20,stimulated_sim_1_2.5,stimulated_sim_2_2.5,stimulated_sim_3_2.5,stimulated_sim_1_5,stimulated_sim_2_5,stimulated_sim_3_5,stimulated_sim_1_10,stimulated_sim_2_10,stimulated_sim_3_10,stimulated_sim_1_15,stimulated_sim_2_15,stimulated_sim_3_15,stimulated_sim_1_20,stimulated_sim_2_20,stimulated_sim_3_20,lowest_simulated,highest_simulated,median_simulated,stringency
ddqc,8.04455445544554,7.32616996714324,5.74959699086513,5.3397514832643,24.2352941176471,5.3397514832643,24.2352941176471,7.32616996714324,8.65314989138306,16.8493941142527,18.3714830710539,7.65027322404372,20.4790196806535,14.6727723716848,14.0459145889904,14.5699831365936,19.2157928099248,16.3762019230769,8.75979714153988,12.078608047227,6.48959474260679,7.71310145972247,6.16113744075829,6.16113744075829,20.4790196806535,14.0459145889904,6.80831619830934,6.73800367831466,7.16516626860187,8.54466529586475,13.3756896839993,9.75564945801947,10.2581676947681,10.5333556261495,10.3068160940658,15.9698423577793,14.0277545560943,14.5324269704207,13.1596984235778,19.394750041799,17.6557045746831,14.6295863519514,15.1197906180793,19.9341021416804,21.6172002804394,21.2804509764445,21.3984989932272,21.7574199579341,18.4417153211194,22.2039172615779,20.2383734517411,24.1594523857459,24.6750869485631,21.2432811404534,20.2536742500503,20.5747757642321,6.73800367831466,24.6750869485631,16.8127734662312,14.0459145889904
DropletQC,0,0,0,0,0,0,0,0,0,0,1.91940867906533,0.226116449971735,0,8.24270177447052,0,7.18381112984823,5.59630535180657,9.28485576923077,0.899031811894882,0,0,3.53216795819066,10.4971261470203,0,10.4971261470203,0.899031811894882,0,0,0,0,0,0,0,0,0,0.137080191912269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137080191912269,0,0
ensembleKQC,38.6276127612761,42.9713169345529,26.3299301450833,19.9932833314676,34.7712418300654,19.9932833314676,42.9713169345529,34.7712418300654,39.0296886314265,27.9861511829198,25.7749165474487,41.0118711136235,32.9372447085035,18.3171150543789,31.6465070352999,48.4991568296796,19.3787919949289,19.8617788461538,21.5537113877363,24.5145254000311,46.1391018619934,25.8064516129032,23.1723303418372,18.3171150543789,48.4991568296796,25.8064516129032,22.983778843957,25.3636515632837,22.3957376446812,23.8519533927347,23.3405784985788,24.3799375344479,25.5654557916381,25.9822772111687,25.0229652765019,28.1471327393192,27.6709580337736,27.9074040051442,31.0486634681289,31.1820765758234,28.8260150652214,32.0401963075485,30.2395812361586,31.9787662456526,32.0635662537976,38.4940608012885,31.5577521508329,34.2837111474644,32.9575196295551,30.1482701812191,32.3673755550362,30.964364807731,30.9902983708585,32.5309651787801,32.9373867525669,31.8323265604979,22.3957376446812,38.4940608012885,30.6019730219448,30.6019730219448
miQC,50.9075907590759,57.9788651096705,28.9951638903815,23.2844509123475,8.28758169934641,8.28758169934641,57.9788651096705,28.9951638903815,25.1810282404055,20.7155222158107,17.8469241773963,4.43753533069531,53.5462309691794,8.1473001335623,19.8963218958282,62.4620573355818,14.2533731775786,28.3653846153846,4.21853388658368,21.0113406866553,0,8.43395206343485,9.97277402440254,0,62.4620573355818,17.8469241773963,0,0,0,0,0,0,7.60795065113091,8.94499247617455,8.48796619511299,10.9664153529815,11.0015047650895,11.66636046298,14.8960475211332,13.7435211503093,14.9182436156531,0,0,0,0,0,0,8.6001402196775,8.37527682705859,9.18909024345598,12.9469502220145,12.2407892087779,12.1178839465495,17.1301706006076,13.2876988121603,15.5592165476844,0,17.1301706006076,8.54405320739524,17.8469241773963
SampleQC,38.008800880088,25.8858005505728,10.4459967759269,5.83230717564088,11.3986928104575,5.83230717564088,38.008800880088,11.3986928104575,13.1969587255612,92.6139642238892,22.6514067715784,24.4771057094404,8.22502784998143,6.06754436176302,11.5280177733893,2.90050590219224,27.2389749162365,5.76923076923077,68.3725218994929,5.88783594842318,11.2267250821468,5.80284735988466,14.8028637692851,2.90050590219224,92.6139642238892,11.5280177733893,9.184372858122,8.97843170038455,9.25959948557781,11.6746630111949,11.6034108008694,11.2805438177476,5.84875485492346,5.78498578832971,5.7321330148815,13.5709389993146,13.6432034776793,13.8526547859636,7.37948366461046,7.02223708409965,6.79772184457101,10.2594064033653,10.5496275417757,10.5253523704924,12.853470437018,13.1870344272196,13.3992311916529,6.68380462724936,6.62371652909201,6.82775032033681,15.0502453844356,15.2808536339843,15.9802306425041,8.24959102594064,7.91222065633179,8.47519677832693,5.7321330148815,15.9802306425041,9.75950294447154,11.3986928104575
scater,0.55005500550055,0.763697717787053,2.20311660397636,1.97022276950633,6.56209150326797,0.55005500550055,6.56209150326797,1.97022276950633,5.10499637943519,2.71206001154068,9.04864091559371,4.59770114942529,11.2142591904939,8.16638046174394,0.740557886941496,9.20741989881956,3.55881553925564,5.13822115384615,3.50391885661595,5.05670343327637,2.6013143483023,4.3611461524599,4.60824846223656,0.740557886941496,11.2142591904939,4.60824846223656,2.55883024902902,2.10667112522989,2.14954988058056,4.04386566141193,4.0127069051998,3.58258313430094,6.41992232122458,6.52064872094967,6.77934962336947,9.27575965273018,8.49356294933957,8.67168840712842,10.0068540095956,9.42986122721953,9.6821605732133,2.73428371114746,2.81860277833702,2.63591433278418,4.08974059359663,4.26816992148178,4.26505583012997,7.47838279971956,7.34850010066438,7.41350906095552,11.0773545220846,9.90537547815583,10.1958630788944,11.9186725870531,11.1536138514194,11.0195863078894,2.10667112522989,11.9186725870531,7.06392486201693,4.60824846223656
valiDrops,2.65401540154015,0.213124944498712,3.0091348737238,0.257472293742304,5.69934640522876,0.213124944498712,5.69934640522876,2.65401540154015,1.88269370021723,7.21292556260819,1.5379113018598,0.970416431128698,1.78239881173413,2.48044266361381,1.43174524808689,1.41652613827993,1.46699266503667,1.68269230769231,0.922083909635777,1.58458909429859,2.13581599123768,0.901063254640476,2.00665523847938,0.901063254640476,7.21292556260819,1.58458909429859,1.78204249485949,1.52148470155492,1.56163880213118,1.66780900159927,1.60508276207992,1.56163880213118,1.62211560429518,1.52148470155492,1.01047216608488,1.41649531642678,1.42116702892493,0.973727723681793,1.41649531642678,1.27069051997994,0.90023883887562,1.93970553867726,1.71129454399034,1.92202086765513,1.89296564617901,1.67102879001409,1.83049606443346,1.79948586118252,3.04006442520636,1.77558118250046,1.61252629118953,1.40930138916851,1.70236133992312,1.6826361299369,1.67102879001409,1.68405637927878,0.90023883887562,3.04006442520636,1.64496230294722,1.64496230294722
manual_fixed_mito,51.1688668866887,60.8382914483616,24.6104245029554,18.9745886040524,51.2679738562091,18.9745886040524,60.8382914483616,51.1688668866887,72.8638667632151,59.4345066358915,23.4620886981402,3.05257207461843,78.332714444857,21.6943331425301,19.3532461120711,62.6306913996627,26.5145340939962,38.4915865384615,2.23605348086676,31.7772254155663,0.0273822562979189,1.04523337538295,6.57456892205304,0.0273822562979189,78.332714444857,23.4620886981402,8.06488462417181,8.67747868249457,9.49843836119787,9.93831391363948,10.4999164019395,11.0784493845306,13.1825451222298,14.1280722287243,14.7161491824362,16.3582362348641,17.6057515465641,18.2436156531325,20.0137080191912,20.832636682829,21.2015432665809,9.20775882215471,10.1671028790014,9.81145890536335,10.9371348445899,11.8179987920274,11.4589053633535,13.9752278569759,14.6768673243406,14.6988833974007,17.9948586118252,18.3209180591907,18.1951308804686,21.4302407104464,21.7636400241595,21.7462932454695,8.06488462417181,21.7636400241595,14.4024697765325,23.4620886981402
manual_adaptive_mito,2.92904290429043,37.9717609448539,10.0053734551317,5.1718347699541,6.11764705882353,2.92904290429043,37.9717609448539,6.11764705882353,10.0108616944243,10.0403923831506,5.91320934668574,3.70265686828717,3.08206461195693,5.03720663995421,9.9975314737102,10.0168634064081,8.58462374354795,10.0060096153846,3.43476256339327,10.0046605561597,1.83461117196057,6.433591638133,7.42159927397398,1.83461117196057,10.0403923831506,7.42159927397398,1.30226182316655,1.23725129576994,1.24931104170494,2.58167694768106,2.47450259153988,2.38838875620062,4.36371944254055,4.29694031098478,4.3725886459673,6.73977610235321,6.37017221200468,6.19143854492008,7.97349782956363,7.89165691355961,7.93679955906669,1.00490768871232,1.18783974229917,0.9518579535054,2.26688478616499,2.0535534527884,2.08676551345415,3.8560411311054,3.90577813569559,3.69760205015559,5.51530731479318,5.85866720354339,5.87589236683141,6.80065435849498,7.12703845379505,7.1938495332235,0.9518579535054,7.97349782956363,4.10135922334019,6.11764705882353
manual_mito_ribo,1.70517051705171,30.2371015007548,6.59860290166577,2.50755625209896,5.56862745098039,1.70517051705171,30.2371015007548,5.56862745098039,7.47646632874728,7.09751875360646,2.84930853600381,2.63802524967025,2.91496472335685,3.91146727723717,7.25746729202666,0,5.31558453318844,8.35336538461538,2.85846011987091,7.77536119310238,0.821467688937568,2.55901964317895,6.27205808208127,0,8.35336538461538,3.91146727723717,0.182773589216358,0.250794181574987,0.183722212015433,0.594014164953164,0.501588363149975,0.679772184457101,0.913867946081791,0.919578665774954,0.808377732867904,1.57642220699109,1.30412974418993,1.28605548410803,1.46218871373087,1.70540043470991,1.58001102333272,0.163589623743865,0.12079726192873,0.128134724510342,0.303809301238607,0.161063015904973,0.256269449020685,0.373919139985978,0.402657539762432,0.549148819330038,0.77120822622108,0.825447956512986,0.732198425773385,0.888057957466698,0.845580833501107,1.06168771737141,0.12079726192873,1.70540043470991,0.705985305115243,3.91146727723717
